#string_protein_id	preferred_name	protein_size	annotation
1347342.BN863_17110	CDF79423.1	179	annotation not available
1347342.BN863_17120	CDF79424.1	609	Binds mRNA; thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence
1347342.BN863_17130	CDF79425.1	126	annotation not available
1347342.BN863_17140	cmk	229	annotation not available
1347342.BN863_17150	CDF79427.1	339	annotation not available
1347342.BN863_17160	lon	816	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short- lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
1347342.BN863_17170	CDF79429.1	184	Belongs to the sigma-70 factor family. ECF subfamily. 
1347342.BN863_17180	CDF79430.1	188	annotation not available
1347342.BN863_17190	CDF79431.1	361	annotation not available
1347342.BN863_1720	BN863_1720	202	annotation not available
1347342.BN863_17200	CDF79432.1	191	annotation not available
1347342.BN863_17210	CDF79433.1	441	annotation not available
1347342.BN863_17220	CDF79434.1	265	annotation not available
1347342.BN863_17230	CDF79435.1	159	annotation not available
1347342.BN863_17240	CDF79436.1	429	annotation not available
1347342.BN863_17250	CDF79437.1	458	annotation not available
1347342.BN863_17260	CDF79438.1	212	annotation not available
1347342.BN863_17270	CDF79439.1	184	annotation not available
1347342.BN863_17280	aroQ	138	Catalyzes a trans-dehydration via an enolate intermediate. 
1347342.BN863_17290	CDF79441.1	190	annotation not available
1347342.BN863_1730	BN863_1730	276	Belongs to the FPP/GGPP synthase family. 
1347342.BN863_17300	CDF79442.1	196	annotation not available
1347342.BN863_17310	xerC	298	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC- XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids. 
1347342.BN863_17320	CDF79444.1	435	annotation not available
1347342.BN863_17330	CDF79445.1	631	annotation not available
1347342.BN863_17340	CDF79446.1	641	annotation not available
1347342.BN863_17350	CDF79447.1	419	annotation not available
1347342.BN863_17360	CDF79448.1	108	annotation not available
1347342.BN863_17370	CDF79449.1	216	annotation not available
1347342.BN863_17380	CDF79450.1	160	annotation not available
1347342.BN863_17390	CDF79451.1	253	annotation not available
1347342.BN863_1740	BN863_1740	116	annotation not available
1347342.BN863_17400	CDF79452.1	487	annotation not available
1347342.BN863_17410	CDF79453.1	144	annotation not available
1347342.BN863_17420	CDF79454.1	109	annotation not available
1347342.BN863_17430	CDF79455.1	252	annotation not available
1347342.BN863_17440	CDF79456.1	386	annotation not available
1347342.BN863_17450	CDF79457.1	317	annotation not available
1347342.BN863_17460	CDF79458.1	473	annotation not available
1347342.BN863_17470	CDF79459.1	198	annotation not available
1347342.BN863_17480	CDF79460.1	37	annotation not available
1347342.BN863_17490	CDF79461.1	45	annotation not available
1347342.BN863_1750	BN863_1750	45	annotation not available
1347342.BN863_17500	CDF79462.1	193	annotation not available
1347342.BN863_17510	CDF79463.1	602	annotation not available
1347342.BN863_17520	CDF79464.1	204	annotation not available
1347342.BN863_17530	CDF79465.1	135	annotation not available
1347342.BN863_17540	CDF79466.1	759	annotation not available
1347342.BN863_17550	CDF79467.1	345	annotation not available
1347342.BN863_17560	CDF79468.1	412	annotation not available
1347342.BN863_17570	CDF79469.1	380	annotation not available
1347342.BN863_17580	CDF79470.1	182	annotation not available
1347342.BN863_17590	CDF79471.1	268	annotation not available
1347342.BN863_1760	BN863_1760	156	annotation not available
1347342.BN863_17600	CDF79472.1	130	annotation not available
1347342.BN863_17610	CDF79473.1	273	annotation not available
1347342.BN863_17620	CDF79474.1	81	annotation not available
1347342.BN863_17630	CDF79475.1	357	annotation not available
1347342.BN863_17640	CDF79476.1	185	annotation not available
1347342.BN863_17650	CDF79477.1	308	annotation not available
1347342.BN863_17660	CDF79478.1	368	annotation not available
1347342.BN863_17670	CDF79479.1	175	annotation not available
1347342.BN863_17680	CDF79480.1	338	annotation not available
1347342.BN863_17690	CDF79481.1	225	annotation not available
1347342.BN863_1770	BN863_1770	919	annotation not available
1347342.BN863_17700	CDF79482.1	455	annotation not available
1347342.BN863_17710	CDF79483.1	136	annotation not available
1347342.BN863_17720	CDF79484.1	428	annotation not available
1347342.BN863_17730	CDF79485.1	163	annotation not available
1347342.BN863_17740	CDF79486.1	135	annotation not available
1347342.BN863_17750	CDF79487.1	124	annotation not available
1347342.BN863_17760	CDF79488.1	199	annotation not available
1347342.BN863_17770	CDF79489.1	38	annotation not available
1347342.BN863_17780	CDF79490.1	241	annotation not available
1347342.BN863_17790	CDF79491.1	229	annotation not available
1347342.BN863_1780	BN863_1780	404	E2 component of the 2-oxoglutarate dehydrogenase (OGDH) complex which catalyzes the second step in the conversion of 2- oxoglutarate to succinyl-CoA and CO(2). 
1347342.BN863_17800	CDF79492.1	143	annotation not available
1347342.BN863_17810	CDF79493.1	199	annotation not available
1347342.BN863_17820	CDF79494.1	169	annotation not available
1347342.BN863_17830	CDF79495.1	116	annotation not available
1347342.BN863_17840	CDF79496.1	707	annotation not available
1347342.BN863_17850	CDF79497.1	483	annotation not available
1347342.BN863_17860	CDF79498.1	206	annotation not available
1347342.BN863_17870	CDF79499.1	246	annotation not available
1347342.BN863_17880	CDF79500.1	128	annotation not available
1347342.BN863_17890	CDF79501.1	115	annotation not available
1347342.BN863_1790	BN863_1790	210	annotation not available
1347342.BN863_17900	CDF79502.1	300	Belongs to the LysR transcriptional regulatory family. 
1347342.BN863_17910	CDF79503.1	198	annotation not available
1347342.BN863_17920	CDF79504.1	352	annotation not available
1347342.BN863_17930	CDF79505.1	138	annotation not available
1347342.BN863_17940	CDF79506.1	178	annotation not available
1347342.BN863_17950	CDF79507.1	185	annotation not available
1347342.BN863_17960	map	254	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val). Requires deformylation of the N(alpha)-formylated initiator methionine before it can be hydrolyzed
1347342.BN863_17970	CDF79509.1	120	annotation not available
1347342.BN863_17980	CDF79510.1	124	annotation not available
1347342.BN863_17990	CDF79511.1	217	annotation not available
1347342.BN863_180	BN863_180	472	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
1347342.BN863_1800	BN863_1800	150	annotation not available
1347342.BN863_18000	CDF79512.1	398	annotation not available
1347342.BN863_18010	CDF79513.1	55	annotation not available
1347342.BN863_18020	CDF79514.1	174	annotation not available
1347342.BN863_18030	CDF79515.1	155	annotation not available
1347342.BN863_18040	CDF79516.1	158	annotation not available
1347342.BN863_18050	CDF79517.1	192	annotation not available
1347342.BN863_18060	CDF79518.1	123	annotation not available
1347342.BN863_18070	CDF79519.1	267	annotation not available
1347342.BN863_18080	CDF79520.1	239	annotation not available
1347342.BN863_18090	CDF79521.1	176	annotation not available
1347342.BN863_1810	BN863_1810	255	annotation not available
1347342.BN863_18100	CDF79522.1	60	annotation not available
1347342.BN863_18110	CDF79523.1	210	annotation not available
1347342.BN863_18120	CDF79524.1	279	annotation not available
1347342.BN863_18130	CDF79525.1	386	annotation not available
1347342.BN863_18140	CDF79526.1	98	annotation not available
1347342.BN863_18150	CDF79527.1	158	Belongs to the small heat shock protein (HSP20) family. 
1347342.BN863_18160	CDF79528.1	86	annotation not available
1347342.BN863_18170	CDF79529.1	157	annotation not available
1347342.BN863_18180	CDF79530.1	237	annotation not available
1347342.BN863_18190	trpB	399	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine
1347342.BN863_1820	BN863_1820	343	annotation not available
1347342.BN863_18200	CDF79532.1	168	annotation not available
1347342.BN863_18210	CDF79533.1	406	annotation not available
1347342.BN863_18220	CDF79534.1	355	annotation not available
1347342.BN863_18230	CDF79535.1	299	annotation not available
1347342.BN863_18240	CDF79536.1	531	annotation not available
1347342.BN863_18250	CDF79537.1	474	Belongs to the aspartate/glutamate racemases family. 
1347342.BN863_18260	CDF79538.1	108	annotation not available
1347342.BN863_18270	CDF79539.1	187	annotation not available
1347342.BN863_18280	CDF79540.1	499	annotation not available
1347342.BN863_18290	CDF79541.1	49	annotation not available
1347342.BN863_1830	BN863_1830	257	annotation not available
1347342.BN863_18300	CDF79542.1	307	annotation not available
1347342.BN863_18310	CDF79543.1	217	annotation not available
1347342.BN863_18320	CDF79544.1	436	annotation not available
1347342.BN863_18330	CDF79545.1	647	annotation not available
1347342.BN863_18340	CDF79546.1	132	annotation not available
1347342.BN863_18350	CDF79547.1	100	annotation not available
1347342.BN863_18360	CDF79548.1	49	annotation not available
1347342.BN863_18370	CDF79549.1	195	annotation not available
1347342.BN863_18380	CDF79550.1	226	annotation not available
1347342.BN863_18390	CDF79551.1	62	annotation not available
1347342.BN863_1840	BN863_1840	84	annotation not available
1347342.BN863_18400	CDF79552.1	282	annotation not available
1347342.BN863_18410	CDF79553.1	93	annotation not available
1347342.BN863_18420	CDF79554.1	712	Serves to protect cells from the toxic effects of hydrogen peroxide
1347342.BN863_18430	CDF79555.1	401	annotation not available
1347342.BN863_18440	CDF79556.1	161	annotation not available
1347342.BN863_18450	CDF79557.1	301	annotation not available
1347342.BN863_18460	CDF79558.1	656	annotation not available
1347342.BN863_18470	CDF79559.1	917	Belongs to the peptidase M16 family. 
1347342.BN863_18480	CDF79560.1	457	annotation not available
1347342.BN863_18490	CDF79561.1	457	annotation not available
1347342.BN863_1850	exbD	212	annotation not available
1347342.BN863_18500	CDF79562.1	457	annotation not available
1347342.BN863_18510	CDF79563.1	396	annotation not available
1347342.BN863_18520	CDF79564.1	483	annotation not available
1347342.BN863_18530	CDF79565.1	1143	annotation not available
1347342.BN863_18540	CDF79566.1	374	annotation not available
1347342.BN863_18550	CDF79567.1	177	Belongs to the sigma-70 factor family. ECF subfamily. 
1347342.BN863_18560	CDF79568.1	292	Belongs to the pirin family. 
1347342.BN863_18570	CDF79569.1	197	annotation not available
1347342.BN863_18580	CDF79570.1	60	annotation not available
1347342.BN863_18590	CDF79571.1	473	annotation not available
1347342.BN863_1860	BN863_1860	161	annotation not available
1347342.BN863_18600	CDF79572.1	657	annotation not available
1347342.BN863_18610	CDF79573.1	832	annotation not available
1347342.BN863_18620	CDF79574.1	461	annotation not available
1347342.BN863_18630	CDF79575.1	497	Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
1347342.BN863_18640	CDF79576.1	480	annotation not available
1347342.BN863_18650	CDF79577.1	399	annotation not available
1347342.BN863_18660	CDF79578.1	1391	annotation not available
1347342.BN863_18670	CDF79579.1	378	annotation not available
1347342.BN863_18680	CDF79580.1	304	annotation not available
1347342.BN863_18690	CDF79581.1	471	annotation not available
1347342.BN863_1870	BN863_1870	243	annotation not available
1347342.BN863_18700	CDF79582.1	502	Belongs to the glycosyl hydrolase 30 family. 
1347342.BN863_18710	CDF79583.1	334	annotation not available
1347342.BN863_18720	CDF79584.1	402	annotation not available
1347342.BN863_18730	CDF79585.1	1147	annotation not available
1347342.BN863_18740	CDF79586.1	556	annotation not available
1347342.BN863_18750	CDF79587.1	701	annotation not available
1347342.BN863_18760	CDF79588.1	490	annotation not available
1347342.BN863_18770	CDF79589.1	995	annotation not available
1347342.BN863_18780	CDF79590.1	44	annotation not available
1347342.BN863_18790	CDF79591.1	940	annotation not available
1347342.BN863_1880	BN863_1880	198	annotation not available
1347342.BN863_18800	CDF79592.1	703	annotation not available
1347342.BN863_18810	CDF79593.1	109	annotation not available
1347342.BN863_18820	CDF79594.1	251	annotation not available
1347342.BN863_18830	CDF79595.1	327	annotation not available
1347342.BN863_18840	CDF79596.1	215	annotation not available
1347342.BN863_18850	CDF79597.1	821	annotation not available
1347342.BN863_18860	CDF79598.1	530	annotation not available
1347342.BN863_18870	CDF79599.1	341	annotation not available
1347342.BN863_18880	CDF79600.1	166	annotation not available
1347342.BN863_18890	CDF79601.1	836	annotation not available
1347342.BN863_1890	BN863_1890	487	annotation not available
1347342.BN863_18900	CDF79602.1	1666	annotation not available
1347342.BN863_18910	CDF79603.1	137	annotation not available
1347342.BN863_18920	CDF79604.1	65	annotation not available
1347342.BN863_18930	CDF79605.1	243	annotation not available
1347342.BN863_18940	CDF79606.1	109	annotation not available
1347342.BN863_18950	CDF79607.1	256	annotation not available
1347342.BN863_18960	CDF79608.1	143	annotation not available
1347342.BN863_18970	CDF79609.1	169	annotation not available
1347342.BN863_18980	CDF79610.1	252	annotation not available
1347342.BN863_18990	CDF79611.1	235	annotation not available
1347342.BN863_190	BN863_190	345	annotation not available
1347342.BN863_1900	asnS	477	annotation not available
1347342.BN863_19000	CDF79612.1	141	annotation not available
1347342.BN863_19010	CDF79613.1	362	annotation not available
1347342.BN863_19020	CDF79614.1	213	annotation not available
1347342.BN863_19030	CDF79615.1	301	annotation not available
1347342.BN863_19040	CDF79616.1	116	annotation not available
1347342.BN863_19050	CDF79617.1	286	annotation not available
1347342.BN863_19060	CDF79618.1	377	annotation not available
1347342.BN863_19070	CDF79619.1	66	annotation not available
1347342.BN863_19080	CDF79620.1	352	annotation not available
1347342.BN863_19090	CDF79621.1	828	annotation not available
1347342.BN863_1910	BN863_1910	780	annotation not available
1347342.BN863_19100	CDF79622.1	219	annotation not available
1347342.BN863_19110	CDF79623.1	749	annotation not available
1347342.BN863_19120	CDF79624.1	655	annotation not available
1347342.BN863_19130	CDF79625.1	211	annotation not available
1347342.BN863_19140	CDF79626.1	269	annotation not available
1347342.BN863_19150	CDF79627.1	131	annotation not available
1347342.BN863_19160	CDF79628.1	133	annotation not available
1347342.BN863_19170	CDF79629.1	229	annotation not available
1347342.BN863_19180	CDF79630.1	705	annotation not available
1347342.BN863_19190	CDF79631.1	455	annotation not available
1347342.BN863_1920	BN863_1920	415	annotation not available
1347342.BN863_19200	CDF79632.1	609	annotation not available
1347342.BN863_19210	CDF79633.1	374	annotation not available
1347342.BN863_19220	CDF79634.1	598	annotation not available
1347342.BN863_19230	CDF79635.1	382	annotation not available
1347342.BN863_19240	CDF79636.1	226	annotation not available
1347342.BN863_19250	CDF79637.1	494	annotation not available
1347342.BN863_19260	CDF79638.1	1382	annotation not available
1347342.BN863_19270	CDF79639.1	528	annotation not available
1347342.BN863_19280	CDF79640.1	1089	annotation not available
1347342.BN863_19290	CDF79641.1	503	annotation not available
1347342.BN863_1930	frr	185	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
1347342.BN863_19300	CDF79642.1	973	annotation not available
1347342.BN863_19310	CDF79643.1	872	annotation not available
1347342.BN863_19320	CDF79644.1	39	annotation not available
1347342.BN863_19330	CDF79645.1	140	annotation not available
1347342.BN863_19340	CDF79646.1	50	annotation not available
1347342.BN863_19350	CDF79647.1	374	annotation not available
1347342.BN863_19360	CDF79648.1	289	annotation not available
1347342.BN863_19370	CDF79649.1	53	annotation not available
1347342.BN863_19380	CDF79650.1	291	annotation not available
1347342.BN863_19390	CDF79651.1	387	annotation not available
1347342.BN863_1940	pyrH	235	Catalyzes the reversible phosphorylation of UMP to UDP. 
1347342.BN863_19400	CDF79652.1	95	annotation not available
1347342.BN863_19410	CDF79653.1	377	Belongs to the 'phage' integrase family. 
1347342.BN863_19420	mnmE	464	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34
1347342.BN863_19430	CDF79655.1	373	annotation not available
1347342.BN863_19440	CDF79656.1	1047	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
1347342.BN863_19450	CDF79657.1	396	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
1347342.BN863_19460	CDF79658.1	464	annotation not available
1347342.BN863_19470	CDF79659.1	217	annotation not available
1347342.BN863_19480	CDF79660.1	266	annotation not available
1347342.BN863_19490	CDF79661.1	462	annotation not available
1347342.BN863_1950	tsf	321	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome. 
1347342.BN863_19500	CDF79662.1	200	annotation not available
1347342.BN863_19510	CDF79663.1	565	annotation not available
1347342.BN863_19520	CDF79664.1	238	annotation not available
1347342.BN863_19530	CDF79665.1	406	annotation not available
1347342.BN863_19540	CDF79666.1	943	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate. 
1347342.BN863_19550	CDF79667.1	229	Belongs to the LOG family
1347342.BN863_19560	CDF79668.1	928	annotation not available
1347342.BN863_19570	CDF79669.1	803	annotation not available
1347342.BN863_19580	rlmH	157	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
1347342.BN863_19590	CDF79671.1	334	annotation not available
1347342.BN863_1960	rpsB	257	Belongs to the universal ribosomal protein uS2 family. 
1347342.BN863_19600	CDF79672.1	99	annotation not available
1347342.BN863_19610	CDF79673.1	193	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA/RNA and avoiding chromosomal lesions. 
1347342.BN863_19620	CDF79674.1	611	Belongs to the DEAD box helicase family. 
1347342.BN863_19630	CDF79675.1	257	annotation not available
1347342.BN863_19640	CDF79676.1	589	annotation not available
1347342.BN863_19650	CDF79677.1	150	annotation not available
1347342.BN863_19660	CDF79678.1	802	annotation not available
1347342.BN863_19670	CDF79679.1	396	Belongs to the thiolase-like superfamily. Thiolase family. 
1347342.BN863_19680	CDF79680.1	103	annotation not available
1347342.BN863_19690	CDF79681.1	602	annotation not available
1347342.BN863_1970	rpsI	128	Belongs to the universal ribosomal protein uS9 family. 
1347342.BN863_19700	CDF79682.1	398	annotation not available
1347342.BN863_19710	CDF79683.1	608	annotation not available
1347342.BN863_19720	CDF79684.1	736	annotation not available
1347342.BN863_19730	CDF79685.1	446	annotation not available
1347342.BN863_19740	CDF79686.1	553	annotation not available
1347342.BN863_19750	CDF79687.1	398	annotation not available
1347342.BN863_19760	CDF79688.1	642	annotation not available
1347342.BN863_19770	CDF79689.1	408	annotation not available
1347342.BN863_19780	CDF79690.1	552	annotation not available
1347342.BN863_19790	CDF79691.1	247	Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6-phosphate and D- lactate
1347342.BN863_1980	rplM	151	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly. 
1347342.BN863_19800	CDF79692.1	486	Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
1347342.BN863_19810	CDF79693.1	395	annotation not available
1347342.BN863_19820	CDF79694.1	495	annotation not available
1347342.BN863_19830	CDF79695.1	1062	annotation not available
1347342.BN863_19840	nagX	369	annotation not available
1347342.BN863_19850	CDF79697.1	249	annotation not available
1347342.BN863_19860	CDF79698.1	413	annotation not available
1347342.BN863_19870	CDF79699.1	488	annotation not available
1347342.BN863_19880	CDF79700.1	374	annotation not available
1347342.BN863_19890	CDF79701.1	179	annotation not available
1347342.BN863_1990	BN863_1990	110	annotation not available
1347342.BN863_19900	CDF79702.1	795	annotation not available
1347342.BN863_19910	CDF79703.1	61	annotation not available
1347342.BN863_19920	CDF79704.1	726	Belongs to the heme-copper respiratory oxidase family. 
1347342.BN863_19930	CDF79705.1	296	annotation not available
1347342.BN863_19940	CDF79706.1	474	annotation not available
1347342.BN863_19950	CDF79707.1	148	annotation not available
1347342.BN863_19960	CDF79708.1	121	annotation not available
1347342.BN863_19970	CDF79709.1	208	annotation not available
1347342.BN863_19980	CDF79710.1	176	Belongs to the sigma-70 factor family. ECF subfamily. 
1347342.BN863_19990	CDF79711.1	268	annotation not available
1347342.BN863_20	rbfA	130	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA
1347342.BN863_200	BN863_200	65	annotation not available
1347342.BN863_2000	BN863_2000	312	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
1347342.BN863_20000	CDF79712.1	430	annotation not available
1347342.BN863_20010	CDF79713.1	185	annotation not available
1347342.BN863_20020	CDF79714.1	216	annotation not available
1347342.BN863_20030	CDF79715.1	392	annotation not available
1347342.BN863_20040	CDF79716.1	539	annotation not available
1347342.BN863_20050	CDF79717.1	251	annotation not available
1347342.BN863_20060	CDF79718.1	59	annotation not available
1347342.BN863_20070	CDF79719.1	444	annotation not available
1347342.BN863_20080	CDF79720.1	206	annotation not available
1347342.BN863_20090	CDF79721.1	720	annotation not available
1347342.BN863_2010	BN863_2010	355	Belongs to the methyltransferase superfamily. 
1347342.BN863_20100	CDF79722.1	222	annotation not available
1347342.BN863_20110	CDF79723.1	45	annotation not available
1347342.BN863_20120	CDF79724.1	164	Belongs to the sigma-70 factor family. ECF subfamily. 
1347342.BN863_20130	CDF79725.1	214	annotation not available
1347342.BN863_20140	CDF79726.1	267	annotation not available
1347342.BN863_20150	CDF79727.1	215	annotation not available
1347342.BN863_20160	CDF79728.1	237	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
1347342.BN863_20170	CDF79729.1	204	annotation not available
1347342.BN863_20180	CDF79730.1	204	annotation not available
1347342.BN863_20190	CDF79731.1	160	Belongs to the Dps family
1347342.BN863_2020	BN863_2020	186	annotation not available
1347342.BN863_20200	CDF79732.1	314	Belongs to the LysR transcriptional regulatory family. 
1347342.BN863_20210	CDF79733.1	65	annotation not available
1347342.BN863_20220	CDF79734.1	265	annotation not available
1347342.BN863_20230	CDF79735.1	151	annotation not available
1347342.BN863_20240	CDF79736.1	123	annotation not available
1347342.BN863_20250	CDF79737.1	148	annotation not available
1347342.BN863_20260	CDF79738.1	114	annotation not available
1347342.BN863_20270	CDF79739.1	590	annotation not available
1347342.BN863_20280	CDF79740.1	318	annotation not available
1347342.BN863_20290	CDF79741.1	67	annotation not available
1347342.BN863_2030	BN863_2030	269	annotation not available
1347342.BN863_20300	CDF79742.1	115	annotation not available
1347342.BN863_20310	CDF79743.1	120	annotation not available
1347342.BN863_20320	CDF79744.1	603	annotation not available
1347342.BN863_20330	CDF79745.1	486	annotation not available
1347342.BN863_20340	CDF79746.1	355	annotation not available
1347342.BN863_20350	CDF79747.1	267	annotation not available
1347342.BN863_20360	CDF79748.1	264	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. 
1347342.BN863_20370	CDF79749.1	411	annotation not available
1347342.BN863_20380	CDF79750.1	486	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol
1347342.BN863_20390	CDF79751.1	412	annotation not available
1347342.BN863_2040	BN863_2040	738	annotation not available
1347342.BN863_20400	CDF79752.1	157	annotation not available
1347342.BN863_20410	CDF79753.1	189	annotation not available
1347342.BN863_20420	CDF79754.1	447	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
1347342.BN863_20430	CDF79755.1	71	annotation not available
1347342.BN863_20440	CDF79756.1	462	annotation not available
1347342.BN863_20450	CDF79757.1	264	annotation not available
1347342.BN863_20460	btuC	315	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1347342.BN863_20470	btuF	384	annotation not available
1347342.BN863_20480	CDF79760.1	610	annotation not available
1347342.BN863_20490	CDF79761.1	356	annotation not available
1347342.BN863_2050	BN863_2050	519	annotation not available
1347342.BN863_20500	ppnP	93	Catalyzes the phosphorolysis of diverse nucleosides, yielding D-ribose 1-phosphate and the respective free bases. Can use uridine, adenosine, guanosine, cytidine, thymidine, inosine and xanthosine as substrates. Also catalyzes the reverse reactions
1347342.BN863_20510	glyA	425	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF-independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
1347342.BN863_20520	CDF79764.1	429	annotation not available
1347342.BN863_20530	CDF79765.1	635	Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA
1347342.BN863_20540	CDF79766.1	248	annotation not available
1347342.BN863_20550	CDF79767.1	185	annotation not available
1347342.BN863_20560	CDF79768.1	304	Belongs to the cysteine synthase/cystathionine beta- synthase family
1347342.BN863_20570	CDF79769.1	111	annotation not available
1347342.BN863_20580	CDF79770.1	309	annotation not available
1347342.BN863_20590	CDF79771.1	100	annotation not available
1347342.BN863_2060	polA	946	In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity
1347342.BN863_20600	CDF79772.1	834	annotation not available
1347342.BN863_20610	CDF79773.1	450	annotation not available
1347342.BN863_20620	CDF79774.1	717	annotation not available
1347342.BN863_20630	CDF79775.1	1005	annotation not available
1347342.BN863_20640	CDF79776.1	494	annotation not available
1347342.BN863_20650	CDF79777.1	1056	annotation not available
1347342.BN863_20660	CDF79778.1	710	annotation not available
1347342.BN863_20670	CDF79779.1	288	annotation not available
1347342.BN863_20680	CDF79780.1	289	annotation not available
1347342.BN863_20690	CDF79781.1	1081	annotation not available
1347342.BN863_2070	BN863_2070	202	annotation not available
1347342.BN863_20700	CDF79782.1	503	annotation not available
1347342.BN863_20710	CDF79783.1	368	annotation not available
1347342.BN863_20720	CDF79784.1	447	annotation not available
1347342.BN863_20730	CDF79785.1	375	annotation not available
1347342.BN863_20740	CDF79786.1	288	annotation not available
1347342.BN863_20750	CDF79787.1	564	annotation not available
1347342.BN863_20760	CDF79788.1	107	annotation not available
1347342.BN863_20770	CDF79789.1	403	annotation not available
1347342.BN863_20780	CDF79790.1	505	annotation not available
1347342.BN863_20790	CDF79791.1	1075	annotation not available
1347342.BN863_2080	BN863_2080	467	Belongs to the aldehyde dehydrogenase family. 
1347342.BN863_20800	CDF79792.1	315	annotation not available
1347342.BN863_20810	CDF79793.1	275	annotation not available
1347342.BN863_20820	CDF79794.1	479	annotation not available
1347342.BN863_20830	CDF79795.1	550	annotation not available
1347342.BN863_20840	CDF79796.1	336	annotation not available
1347342.BN863_20850	CDF79797.1	1428	annotation not available
1347342.BN863_20860	CDF79798.1	510	annotation not available
1347342.BN863_20870	CDF79799.1	832	Belongs to the glycosyl hydrolase 2 family. 
1347342.BN863_20880	CDF79800.1	464	annotation not available
1347342.BN863_20890	CDF79801.1	528	annotation not available
1347342.BN863_2090	BN863_2090	410	annotation not available
1347342.BN863_20900	CDF79802.1	937	Belongs to the glycosyl hydrolase 2 family. 
1347342.BN863_20910	CDF79803.1	146	annotation not available
1347342.BN863_20920	CDF79804.1	451	annotation not available
1347342.BN863_20930	CDF79805.1	606	annotation not available
1347342.BN863_20940	CDF79806.1	190	annotation not available
1347342.BN863_20950	CDF79807.1	166	annotation not available
1347342.BN863_20960	CDF79808.1	508	annotation not available
